seg_id_nat,year,month,experiment,n,ANN_d001,ANN_d100,RGCN_d001,RGCN_d100,RGCN_ptrn_d001,RGCN_ptrn_d100,RNN_d001,RNN_d100,seg
2007,2005,6,d100,30,3.979620819,3.319283244,3.815878178,2.874594843,6.120487684,3.019312345,4.332060758,3.138613455,a1
2007,2005,7,d100,31,4.10232656,3.640417731,4.008655184,3.379600289,7.685733203,3.138483281,3.979132199,3.312795934,a2
2007,2005,8,d100,31,2.231775299,2.731439991,2.733029445,2.252758624,8.632699197,2.610600939,3.032927015,1.759664242,a3
2007,2006,6,d100,30,7.35533165,4.050023788,5.202491128,3.466931623,5.140441911,3.64550444,4.706853031,4.654351788,a4
2007,2006,7,d100,31,7.020333146,5.274177924,6.859716013,4.169170254,2.1141312,4.835407383,5.474511086,6.273806592,a5
2007,2006,8,d100,31,3.479104407,1.864209228,2.0265916,1.58930264,5.455425772,1.415697101,1.890580596,2.065858096,a6
2007,2007,6,d100,30,6.156040492,3.364699787,4.350033969,2.83599623,1.615054794,3.451749233,2.723808272,4.182489235,a7
2007,2007,7,d100,31,5.793210902,3.987292351,4.606613448,3.590173142,6.211618049,3.903642227,4.100133015,4.233224145,a8
2007,2007,8,d100,31,4.613578261,3.029905319,3.462630627,3.385328429,7.538037086,2.987503761,3.318687041,2.76363863,a9
2007,2008,6,d100,30,5.569727232,3.506202639,4.507146119,3.42609002,3.941975501,3.886533948,3.47468597,4.465192294,a10
2007,2008,7,d100,31,5.854269518,4.445322829,5.268023366,3.290786973,5.4940251,3.849463705,4.590783845,5.122964218,a11
2007,2008,8,d100,31,4.322981153,2.600952656,2.588252139,2.940339127,6.159181153,2.590285534,2.706758281,2.502719208,a12
2007,2009,6,d100,27,5.895807596,1.007485294,2.342574538,1.552949744,2.733137719,1.111491419,1.566808334,1.272225045,a13
2007,2009,7,d100,31,3.199115179,2.1429744,2.875040379,2.521940239,6.312817618,2.748322512,2.808067727,2.387733385,a14
2007,2009,8,d100,31,4.230707354,2.008976055,3.539002545,1.632036725,3.917781016,1.592468191,2.521285104,2.589730956,a15
2007,2010,6,d100,30,2.407845887,1.076877179,1.873614127,1.076316659,3.921412345,1.109565387,2.034269454,1.405948622,a16
2007,2010,7,d100,31,2.71224443,1.847649079,2.288971709,1.49774872,5.613930266,1.340657554,1.948991644,2.288666252,a17
2007,2010,8,d100,31,5.326359054,3.397802761,3.185253098,3.579384995,2.874674534,3.238834759,2.609445523,3.785656185,a18
2007,2011,6,d100,30,3.652523601,1.674772367,2.508261679,2.051414236,3.107801991,1.971888888,1.827326922,2.569347771,a19
2007,2011,7,d100,31,4.391210779,4.643468182,4.919668565,4.697601648,7.84392141,4.804662466,5.254631193,5.060849309,a20
2007,2011,8,d100,31,6.581456042,3.985809886,4.633646106,4.480518121,4.91171792,4.235941028,3.9590466,4.599543233,a21
2007,2012,6,d100,30,7.157802784,2.539371318,3.276597854,2.157037298,4.657397706,2.253512531,2.787150459,2.413501115,a22
2007,2012,7,d100,28,2.964385521,3.009576028,2.840518115,2.721683721,7.529529003,2.503116946,3.172851697,2.55664339,a23
2007,2012,8,d100,31,4.405002488,3.14064338,2.761459768,3.350601608,4.310297375,3.090196268,2.310418984,3.176908537,a24
2007,2013,6,d100,30,7.548848222,3.439666238,5.431362628,1.907489153,2.353192963,2.810220737,3.481453819,3.759956763,a25
2007,2013,7,d100,31,7.605498414,5.157743016,7.01250034,4.2333712,2.0769407,4.647808894,5.788862569,6.129432166,a26
2007,2013,8,d100,29,7.170976946,3.372743616,4.238106179,1.966270862,2.983500851,2.123362699,3.351736331,2.930087094,a27
2007,2014,6,d100,30,6.712881044,3.457004396,4.481881469,2.296699148,1.655615282,3.055418655,2.632393802,3.880264887,a28
2007,2014,7,d100,31,5.686298639,2.842746443,3.750327832,1.967533434,4.015795762,2.327511559,2.969568135,3.34745421,a29
2007,2014,8,d100,31,3.005405866,2.556281713,3.158110359,3.494552574,7.626767797,3.649689555,3.289185439,3.111024739,a30
2007,2015,6,d100,30,5.316831511,2.460465706,3.014868009,2.370654809,3.860272373,2.132092627,2.884756473,2.491029908,a31
2007,2015,7,d100,31,4.816327614,2.787039495,3.280503416,2.713158193,5.627989674,2.703613823,2.959812491,2.948041077,a32
2007,2015,8,d100,24,2.042346736,2.415303457,2.407419035,3.51373554,7.707430601,3.334135531,2.897290734,2.044803554,a33
2007,2016,6,d100,30,2.908031973,2.86942578,2.862337338,2.905954248,5.820379958,2.671349661,4.122173951,2.461986682,a34
2007,2016,7,d100,31,3.442301871,3.906791209,3.99346145,3.642964232,8.517659373,3.586132571,4.305219317,3.359707427,a35
2007,2016,8,d100,31,2.077466026,1.742682198,2.054957096,1.759293293,6.590830175,1.692885494,2.13962789,2.219854886,a36
